ID,Structure Type,Update Ratio,Initial Size,Class Name,Threads,Throughput1,Throughput2,Throughput3,Throughput4
59,Linked Lists,50%,32768,linkedlists.transactional.ReusableLinkedListIntSet,32,112664.53674121406,113373.92693152325,112429.48461845785,112613.66360367558,112138.77795527157
60,Skip Lists,50%,32768,skiplists.lockfree.NonBlockingFriendlySkipListMap,1,1480981.6257239864,1554805.8330003994,1601761.48621654,1597220.9558088381,1616873.101518785
61,Skip Lists,50%,32768,skiplists.lockfree.NonBlockingFriendlySkipListMap,2,3125095.8849380743,2869259.6883739512,2888893.1709265173,2936731.1226528166,3034074.880191693
62,Skip Lists,50%,32768,skiplists.lockfree.NonBlockingFriendlySkipListMap,4,5658888.134238913,6403656.281206312,5221968.250798722,6219828.805433479,6005702.136154921
63,Skip Lists,50%,32768,skiplists.lockfree.NonBlockingFriendlySkipListMap,8,11954121.151539385,11337968.212714914,10664851.489106536,11763335.065973612,10702685.714285715
64,Skip Lists,50%,32768,skiplists.lockfree.NonBlockingFriendlySkipListMap,16,18177907.07434053,13429269.238456925,18925346.722621903,4889552.868279032,21591102.477027565
65,Skip Lists,50%,32768,skiplists.lockfree.NonBlockingFriendlySkipListMap,32,39843857.54245754,39442220.17982018,40456106.0939061,42240054.54545455,6123038.538338658
66,Skip Lists,50%,32768,skiplists.lockfree.NonBlockingJavaSkipListMap,1,1408813.2373525293,1443494.901019796,1373446.3107378522,1381297.9404119176,1426652.6694661067
67,Skip Lists,50%,32768,skiplists.lockfree.NonBlockingJavaSkipListMap,2,2312191.646682654,2478895.2209558086,1717785.8428314335,1908327.9344131174,2419899.9000999
68,Skip Lists,50%,32768,skiplists.lockfree.NonBlockingJavaSkipListMap,4,3213394.1211757646,3396192.0079920082,4079158.136745302,2622641.2717456506,4364440.247801759
69,Skip Lists,50%,32768,skiplists.lockfree.NonBlockingJavaSkipListMap,8,8161266.893242703,7477506.496102339,7851954.018392643,7421729.908036785,6654135.74570172
70,Skip Lists,50%,32768,skiplists.lockfree.NonBlockingJavaSkipListMap,16,15547909.00019956,16772177.316293929,16008652.495009981,14354883.38658147,14831117.412140574
71,Skip Lists,50%,32768,skiplists.lockfree.NonBlockingJavaSkipListMap,32,28296858.341658343,28152451.25848981,28329500.2997003,28899652.88595966,27215299.5004995
